Frequency (Hz)	Level (dB)
344.531250	-8.773277
689.062500	-13.828216
1033.593750	-29.641840
1378.125000	-44.943306
1722.656250	-30.264250
2067.187500	-25.371353
2411.718750	-22.481930
2756.250000	-22.342543
3100.781250	-27.163034
3445.312500	-26.956224
3789.843750	-30.733271
4134.375000	-33.799908
4478.906250	-34.366241
4823.437500	-32.970604
5167.968750	-37.245079
5512.500000	-42.574451
5857.031250	-58.406303
6201.562500	-63.266140
6546.093750	-62.995853
6890.625000	-63.576611
7235.156250	-61.349632
7579.687500	-53.446407
7924.218750	-51.702656
8268.750000	-53.071968
8613.281250	-51.032825
8957.812500	-55.828445
9302.343750	-54.148579
9646.875000	-55.974564
9991.406250	-59.607632
10335.937500	-65.216881
10680.468750	-69.804588
11025.000000	-68.589157
11369.531250	-66.486115
11714.062500	-68.037041
12058.593750	-69.628563
12403.125000	-69.487831
12747.656250	-69.462952
13092.187500	-69.491508
13436.718750	-69.180031
13781.250000	-67.623337
14125.781250	-65.201408
14470.312500	-67.119698
14814.843750	-68.559555
15159.375000	-68.458992
15503.906250	-69.065292
15848.437500	-70.543877
16192.968750	-70.381897
16537.500000	-70.045074
16882.031250	-70.587013
17226.562500	-71.695427
17571.093750	-72.120239
17915.625000	-71.628242
18260.156250	-71.280548
18604.687500	-70.819946
18949.218750	-70.914810
19293.750000	-71.416077
19638.281250	-71.194534
19982.812500	-71.141205
20327.343750	-71.175354
20671.875000	-70.795624
21016.406250	-69.746986
21360.937500	-66.869423
21705.468750	-64.849380
