Frequency (Hz)	Level (dB)
5.383301	-56.754658
10.766602	-118.935532
16.149902	-119.179886
21.533203	-118.701691
26.916504	-118.147812
32.299805	-117.264557
37.683105	-117.863045
43.066406	-116.249763
48.449707	-116.204689
53.833008	-115.166557
59.216309	-114.711037
64.599609	-113.768105
69.982910	-113.066093
75.366211	-111.723312
80.749512	-111.180984
86.132812	-109.930588
91.516113	-108.797630
96.899414	-107.528404
102.282715	-106.673790
107.666016	-104.863258
113.049316	-103.676636
118.432617	-102.022530
123.815918	-100.538300
129.199219	-98.737747
134.582520	-96.841705
139.965820	-94.890984
145.349121	-92.660538
150.732422	-90.289711
156.115723	-87.663841
161.499023	-84.698288
166.882324	-81.406479
172.265625	-77.591927
177.648926	-73.123550
183.032227	-67.700676
188.415527	-60.772709
193.798828	-51.072979
199.182129	-33.545731
204.565430	-20.377165
209.948730	-20.839346
215.332031	-35.673687
220.715332	-52.007504
226.098633	-61.396858
231.481934	-68.164902
236.865234	-73.495110
242.248535	-77.886566
247.631836	-81.639938
253.015137	-84.881203
258.398438	-87.775673
263.781738	-90.337952
269.165039	-92.666321
274.548340	-94.749725
279.931641	-96.632431
285.314941	-98.388557
290.698242	-99.875877
296.081543	-101.341278
301.464844	-102.468697
306.848145	-103.503220
312.231445	-104.365829
317.614746	-104.887970
322.998047	-105.391815
328.381348	-105.503296
333.764648	-105.171280
339.147949	-104.904854
344.531250	-103.964821
349.914551	-102.851585
355.297852	-101.294510
360.681152	-99.406677
366.064453	-97.122383
371.447754	-94.310638
376.831055	-91.031105
382.214355	-87.070023
387.597656	-82.269867
392.980957	-76.215775
398.364258	-68.091545
403.747559	-55.534336
409.130859	-24.300938
414.514160	-19.302109
419.897461	-26.383415
425.280762	-58.144611
430.664062	-69.723511
436.047363	-77.529388
441.430664	-83.531403
446.813965	-88.415970
452.197266	-92.637764
457.580566	-96.386581
462.963867	-99.780838
468.347168	-103.057228
473.730469	-106.293449
479.113770	-109.674637
484.497070	-113.337051
489.880371	-118.235733
495.263672	-124.392426
500.646973	-124.327614
506.030273	-119.361031
511.413574	-115.664223
516.796875	-112.711525
522.180176	-110.045441
527.563477	-108.170761
532.946777	-106.176743
538.330078	-104.123039
543.713379	-102.240395
549.096680	-100.136894
554.479980	-98.033363
559.863281	-95.730003
565.246582	-93.265114
570.629883	-90.580368
576.013184	-87.581619
581.396484	-84.202660
586.779785	-80.347488
592.163086	-75.807541
597.546387	-70.280289
602.929688	-63.194130
608.312988	-53.159718
613.696289	-34.179127
619.079590	-22.493835
624.462891	-23.882959
629.846191	-40.639736
635.229492	-55.967571
640.612793	-65.069984
645.996094	-71.691277
651.379395	-76.934120
656.762695	-81.254471
662.145996	-84.969170
667.529297	-88.186493
672.912598	-91.032486
678.295898	-93.608635
683.679199	-95.847702
689.062500	-97.892914
694.445801	-99.834412
699.829102	-101.446609
705.212402	-102.870155
710.595703	-103.999687
715.979004	-105.025902
721.362305	-105.425385
726.745605	-105.935722
732.128906	-105.468773
737.512207	-105.115120
742.895508	-104.275108
748.278809	-102.887321
753.662109	-101.536903
759.045410	-99.756805
764.428711	-97.828590
769.812012	-95.637619
775.195312	-93.157082
780.578613	-90.411522
785.961914	-87.272987
791.345215	-83.711151
796.728516	-79.532814
802.111816	-74.530266
807.495117	-68.279381
812.878418	-59.885887
818.261719	-46.693844
823.645020	-21.702492
829.028320	-17.691753
834.411621	-25.887581
839.794922	-51.829659
845.178223	-62.928715
850.561523	-70.497482
855.944824	-76.292603
861.328125	-80.997627
866.711426	-84.980125
872.094727	-88.370514
877.478027	-91.371307
882.861328	-94.036438
888.244629	-96.353386
893.627930	-98.469696
899.011230	-100.310120
904.394531	-101.876266
909.777832	-103.294769
915.161133	-104.373985
920.544434	-105.112564
925.927734	-105.662262
931.311035	-105.850761
936.694336	-105.605064
942.077637	-105.154930
947.460938	-104.387077
952.844238	-103.180664
958.227539	-101.915993
963.610840	-100.249870
968.994141	-98.436401
974.377441	-96.344345
979.760742	-94.016609
985.144043	-91.415985
990.527344	-88.446823
995.910645	-85.095451
1001.293945	-81.207649
1006.677246	-76.618484
1012.060547	-71.003197
1017.443848	-63.750622
1022.827148	-53.359589
1028.210449	-32.538769
1033.593750	-22.201502
1038.977051	-24.525539
1044.360352	-43.587238
1049.743652	-58.050621
1055.126953	-66.877197
1060.510254	-73.357086
1065.893555	-78.489815
1071.276855	-82.754677
