Frequency (Hz)	Level (dB)
172.265625	-8.862054
344.531250	-4.930331
516.796875	-11.937328
689.062500	-33.022396
861.328125	-40.921223
1033.593750	-54.926464
1205.859375	-63.157532
1378.125000	-65.291458
1550.390625	-67.141792
1722.656250	-67.098808
1894.921875	-66.419441
2067.187500	-68.848259
2239.453125	-68.821449
2411.718750	-69.578873
2583.984375	-68.851761
2756.250000	-63.975780
2928.515625	-66.409943
3100.781250	-71.370453
3273.046875	-71.805061
3445.312500	-70.591797
3617.578125	-67.040405
3789.843750	-59.990318
3962.109375	-59.141064
4134.375000	-65.426727
4306.640625	-71.711250
4478.906250	-71.033005
4651.171875	-67.755707
4823.437500	-63.205894
4995.703125	-64.216515
5167.968750	-70.417770
5340.234375	-72.075165
5512.500000	-71.763115
5684.765625	-70.629799
5857.031250	-72.989113
6029.296875	-80.150658
6201.562500	-88.765320
6373.828125	-90.977402
6546.093750	-90.522385
6718.359375	-91.288528
6890.625000	-92.151436
7062.890625	-92.521561
7235.156250	-90.757286
7407.421875	-79.016975
7579.687500	-64.624886
7751.953125	-54.481731
7924.218750	-49.972507
8096.484375	-50.297676
8268.750000	-53.900677
8441.015625	-64.466080
8613.281250	-81.355545
8785.546875	-90.668076
8957.812500	-92.110115
9130.078125	-92.837166
9302.343750	-92.834496
9474.609375	-84.158508
9646.875000	-79.463974
9819.140625	-80.250595
9991.406250	-84.767700
10163.671875	-88.136597
10335.937500	-89.574486
10508.203125	-88.225121
10680.468750	-85.933090
10852.734375	-79.744827
11025.000000	-76.386436
11197.265625	-76.464386
11369.531250	-75.699806
11541.796875	-74.919014
11714.062500	-75.068443
11886.328125	-77.428528
12058.593750	-77.949989
12230.859375	-76.721481
12403.125000	-74.163658
12575.390625	-74.255875
12747.656250	-75.705391
12919.921875	-76.922462
13092.187500	-77.909554
13264.453125	-78.289352
13436.718750	-76.921234
13608.984375	-75.441353
13781.250000	-75.683334
13953.515625	-76.958229
14125.781250	-78.500023
14298.046875	-79.579163
14470.312500	-80.087921
14642.578125	-77.480408
14814.843750	-75.209724
14987.109375	-73.825592
15159.375000	-73.818993
15331.640625	-74.627434
15503.906250	-75.942451
15676.171875	-76.445267
15848.437500	-76.631050
16020.703125	-75.328896
16192.968750	-76.199356
16365.234375	-77.361877
16537.500000	-76.610023
16709.765625	-75.983757
16882.031250	-77.328537
17054.296875	-78.300034
17226.562500	-80.870590
17398.828125	-87.340324
17571.093750	-94.419991
17743.359375	-93.692978
17915.625000	-85.615059
18087.890625	-79.687790
18260.156250	-77.359375
18432.421875	-77.176323
18604.687500	-76.274826
18776.953125	-76.959320
18949.218750	-80.383003
19121.484375	-85.938026
19293.750000	-86.443619
19466.015625	-85.694519
19638.281250	-81.759460
19810.546875	-81.043129
19982.812500	-85.632446
20155.078125	-90.662163
20327.343750	-91.220993
20499.609375	-91.598534
20671.875000	-89.089676
20844.140625	-81.248306
21016.406250	-76.407913
21188.671875	-75.757454
21360.937500	-74.863335
21533.203125	-73.814987
21705.468750	-72.897400
21877.734375	-69.327293
